Country,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,Climate Watch,Total excluding LULUCF,All GHG,13.65364975,12.20087158,11.76310589,12.02496765,12.17068354,12.60515999,13.72895587,14.74958168,15.61885301,16.59644189,14.68159175,12.83346973,15.68658404,16.47099042,16.08475717,17.3236745,17.78039447,18.51110082,21.48871984,24.2238049,28.48778061,32.10182111,30.3376622,29.54406109,29.82598034,29.90314743,28.95297996,29.59117964,30.73585214,30.98454592,31.92439133,30.65093665,30.5627127
AFG,Climate Watch,Total including LULUCF,All GHG,11.26490685,9.812128676,9.374362986,9.636224751,9.781940643,10.21641709,11.34036397,12.36091008,13.23036881,14.20772419,12.29349485,12.95537133,15.80848564,16.59289202,16.20665877,17.4455761,17.90229607,18.63300242,21.61062144,24.3457065,28.60968221,31.85560201,30.0914431,29.29784199,29.57976124,29.65692833,29.10763736,29.74583704,30.89050954,31.13920332,32.07904873,30.80559405,30.7173701
AFG,Climate Watch,Energy ,All GHG,4.072253451,2.285393012,1.712199738,1.712865182,1.676437172,1.567192675,1.534788179,1.468053623,1.441953623,1.244619068,1.239819068,1.164469056,1.465096262,1.718777746,1.35614319,2.027508618,2.343553568,2.922766737,4.454545796,6.625822528,8.724035276,12.12418162,10.35401982,9.506111025,9.323359642,10.0325932,9.203620472,9.918194573,10.84417854,11.10046439,11.74124027,10.50031123,10.18038375
AFG,Climate Watch,Industrial Processes ,All GHG,0.150753139,0.136163978,0.119628889,0.115986536,0.076983053,0.069198391,0.062253817,0.061953229,0.061499145,0.060936855,0.023516805,0.046591579,0.059747274,0.067660912,0.075118951,0.07982169,0.09836355,0.111333117,0.129631095,0.140306193,0.155460769,0.165812666,0.191052087,0.208194719,0.208180144,0.232060134,0.289001682,0.279665503,0.313791905,0.3172812,0.36167371,0.334867484,0.346682232
AFG,Climate Watch,Agriculture ,All GHG,8.4092868,8.7530009,8.779459,8.8581782,8.9404079,9.3996355,10.4967672,11.5189133,12.3470884,13.4486449,11.5488896,9.7368038,12.1436601,12.5079381,12.3902209,12.6954918,12.7168752,12.8085408,14.1747392,14.6278988,16.6955508,16.8022652,16.6640973,16.5970068,17.0826128,16.3241082,16.0601072,15.9001945,15.9851378,15.8695197,16.0048624,15.8865587,16.0033404
AFG,Climate Watch,Waste ,All GHG,1.021356358,1.026313687,1.151818259,1.337937733,1.476855418,1.569133429,1.635146674,1.700661524,1.768311837,1.842241071,1.869366277,1.885605296,2.018080408,2.176613664,2.263274134,2.520852397,2.621602148,2.668460168,2.729803752,2.829777375,2.912733762,3.009561622,3.128492994,3.232748543,3.211827755,3.314385895,3.400250602,3.493125066,3.59274389,3.69728063,3.816614955,3.929199235,4.032306315
AFG,Climate Watch,"Land Use, Land-Use Change and Forestry",All GHG,-2.3887429,-2.3887429,-2.3887429,-2.3887429,-2.3887429,-2.3887429,-2.3885919,-2.3886716,-2.3884842,-2.3887177,-2.3880969,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,-0.2462191,-0.2462191,-0.2462191,-0.2462191,-0.2462191,0.1546574,0.1546574,0.1546574,0.1546574,0.1546574,0.1546574,0.1546574
AFG,Climate Watch,Bunker Fuels ,All GHG,0.0194,0.0194,0.0194,0.0194,0.0162,0.0162,0.0162,0.0162,0.0162,0.0163,0.0163,0.0163,0.0163,0.0261,0.0326,0.0651,0.0813,0.1138,0.1554,0.2365,0.3485,0.9819,0.285,0.1865,0.1843,0.0928,0.0706,0.1944,0.1723,0.0308,0.0368,0.0398,0.0383
AFG,Climate Watch,Total excluding LULUCF,CO2,2.04457,1.93967,1.52407,1.52769,1.49309,1.45889,1.4083,1.3433,1.3172,1.1216,1.07962,1.089238,1.40303,1.653207,1.292307,1.961811,2.28388,2.84801,4.37624,6.55987,8.57785,11.96359,10.20903,9.37205,9.17594,9.90349,9.08873,9.78518,10.70188,10.95233,11.68877,10.33424,9.94592
AFG,Climate Watch,Total excluding LULUCF,CH4,9.009633457,7.603604748,7.632872568,7.850763633,8.213206697,8.582078286,9.549751877,10.35964706,10.99160556,11.91816793,10.51396787,8.993268865,11.08423286,11.48604674,11.47473385,11.89537781,12.15630939,12.36966487,13.54364016,13.82495714,15.67744143,15.80292309,15.73298042,15.71384644,15.89901103,15.2667926,15.123123,14.85349921,15.20305108,15.40389746,15.61197192,15.81662398,16.11581738
AFG,Climate Watch,Total excluding LULUCF,N2O,2.585934268,2.645024786,2.594531256,2.635821936,2.454634744,2.555379586,2.762521749,3.038682261,3.302524984,3.549581388,3.081341197,2.735373501,3.174805136,3.298293958,3.275346916,3.415189606,3.275426073,3.215164024,3.477094827,3.733749978,4.113778478,4.206119308,4.255985067,4.30801992,4.590406565,4.561764075,4.548517258,4.738381786,4.595293468,4.371181918,4.345003931,4.204398752,4.188272951
AFG,Climate Watch,Total excluding LULUCF,F-Gas,0.013512022,0.012572042,0.011632062,0.010692082,0.009752102,0.008812122,0.008382244,0.007952354,0.007522465,0.007092575,0.006662685,0.015589365,0.024516045,0.033442725,0.042369405,0.051296084,0.064779008,0.078261931,0.091744854,0.105227777,0.118710701,0.129188711,0.139666721,0.150144731,0.160622741,0.171100751,0.192609697,0.214118642,0.235627588,0.257136534,0.278645479,0.295673923,0.312702366
AFG,Climate Watch,Electricity/Heat ,All GHG,0.3208,0.296,0.1954,0.1956,0.189,0.1798,0.1731,0.1639,0.164,0.1615,0.1618,0.1787,0.1473,0.2598,0.2323,0.2349,0.2689,0.2689,0.2443,0.1236,0.1392,0.1877,0.1512,0.2156,0.1719,0.1692,0.1872,0.1945,0.2412,0.239,0.1691,0.1748,0.1683
AFG,Climate Watch,Building,All GHG,0.1332,0.1403,0.1503,0.1638,0.1641,0.1614,0.168,0.1652,0.1656,0.1699,0.1649,0.1675,0.172,0.1761,0.2034,0.2427,0.225,0.2284,0.2329,0.385,0.4973,0.8213,0.836,1.3406,1.727,2.4875,2.5976,2.2193,2.1744,2.3862,2.3884,2.1607,2.0806
AFG,Climate Watch,Manufacturing/Construction ,All GHG,0.5711,0.5318,0.3918,0.3771,0.3595,0.343,0.3229,0.2953,0.2751,0.2524,0.2322,0.2292,0.5639,0.489,0.2442,0.3462,0.3491,0.7394,1.2059,1.6659,2.3895,4.1746,3.2496,3.3416,3.5995,2.773,2.777,3.2431,3.5905,3.5873,3.9327,3.2647,3.1437
AFG,Climate Watch,Transportation ,All GHG,0.9737,0.9258,0.7408,0.7442,0.7334,0.7277,0.6969,0.6716,0.6651,0.4904,0.5106,0.5072,0.5088,0.7185,0.6027,1.132,1.4288,1.5998,2.6781,4.3727,5.5375,6.7078,5.8463,4.3291,3.5267,4.2952,3.313,3.9426,4.4142,4.5464,5.0703,4.6709,4.4977
AFG,Climate Watch,Other Fuel Combustion ,All GHG,,,,,,,,,,,,,,,,,,,,,,0.0581,0.0971,0.1098,0.1225,0.1378,0.1379,0.1411,0.2251,0.1556,0.068,0.0471,0.0453
AFG,Climate Watch,Fugitive Emissions ,All GHG,2.073453451,0.391493012,0.233899738,0.232165182,0.230337172,0.155292675,0.173888179,0.172153623,0.172153623,0.170419068,0.170419068,0.081769056,0.073096262,0.075377746,0.07364319,0.071908618,0.071753568,0.086266737,0.093445796,0.078622528,0.160535276,0.174681617,0.173719822,0.169311025,0.175759642,0.169993199,0.190820472,0.177494573,0.198778543,0.186064385,0.112740267,0.182111232,0.244783754
AFG,Climate Watch,Energy ,CO2,1.9988,1.8939,1.4783,1.4807,1.446,1.4119,1.3609,1.296,1.2698,1.0742,1.0695,1.0826,1.392,1.6434,1.2826,1.9558,2.2717,2.8364,4.3611,6.547,8.5633,11.949,10.18,9.3364,9.1473,9.8624,9.0125,9.7403,10.645,10.9141,11.6281,10.3179,9.9353
AFG,Climate Watch,Electricity/Heat ,CO2,0.3208,0.296,0.1954,0.1956,0.189,0.1798,0.1731,0.1639,0.164,0.1615,0.1618,0.1787,0.1473,0.2598,0.2323,0.2349,0.2689,0.2689,0.2443,0.1236,0.1392,0.1877,0.1512,0.2156,0.1719,0.1692,0.1872,0.1945,0.2412,0.239,0.1691,0.1748,0.1683
AFG,Climate Watch,Building,CO2,0.1332,0.1403,0.1503,0.1638,0.1641,0.1614,0.168,0.1652,0.1656,0.1699,0.1649,0.1675,0.172,0.1761,0.2034,0.2427,0.225,0.2284,0.2329,0.385,0.4973,0.8213,0.836,1.3405,1.7269,2.4874,2.5975,2.2192,2.1743,2.3861,2.3883,2.1606,2.0805
AFG,Climate Watch,Manufacturing/Construction ,CO2,0.5711,0.5318,0.3918,0.3771,0.3595,0.343,0.3229,0.2953,0.2751,0.2524,0.2322,0.2292,0.5639,0.489,0.2442,0.3462,0.3491,0.7394,1.2059,1.6659,2.3895,4.1745,3.2496,3.3416,3.5994,2.773,2.777,3.2431,3.5904,3.5872,3.9326,3.2647,3.1437
AFG,Climate Watch,Transportation ,CO2,0.9737,0.9258,0.7408,0.7442,0.7334,0.7277,0.6969,0.6716,0.6651,0.4904,0.5106,0.5072,0.5088,0.7185,0.6027,1.132,1.4287,1.5997,2.678,4.3725,5.5373,6.7074,5.8461,4.3289,3.5266,4.295,3.3129,3.9424,4.414,4.5462,5.0701,4.6707,4.4975
AFG,Climate Watch,Other Fuel Combustion ,CO2,,,,,,,,,,,,,,,,,,,,,,0.0581,0.0971,0.1098,0.1225,0.1378,0.1379,0.1411,0.2251,0.1556,0.068,0.0471,0.0453
AFG,Climate Watch,Bunker Fuels ,CO2,0.0194,0.0194,0.0194,0.0194,0.0162,0.0162,0.0162,0.0162,0.0162,0.0163,0.0163,0.0163,0.0163,0.0261,0.0326,0.0651,0.0813,0.1138,0.1554,0.2365,0.3485,0.9819,0.285,0.1865,0.1843,0.0928,0.0706,0.1944,0.1723,0.0308,0.0368,0.0398,0.0383
AFG,Climate Watch,Industrial Processes ,CO2,0.04577,0.04577,0.04577,0.04699,0.04699,0.04699,0.0474,0.0474,0.0474,0.0474,0.01022,0.006538,0.01103,0.009807,0.009807,0.006211,0.01218,0.01161,0.01524,0.01287,0.01455,0.01459,0.02893,0.03555,0.02864,0.04119,0.07613,0.04478,0.05688,0.03833,0.06067,0.01634,0.01062
AFG,Climate Watch,"Land Use, Land-Use Change and Forestry",CO2,-2.388803,-2.388803,-2.388803,-2.388803,-2.388803,-2.388803,-2.388803,-2.388803,-2.388803,-2.388803,-2.388803,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,0.1219016,-0.2462191,-0.2462191,-0.2462191,-0.2462191,-0.2462191,0.1546574,0.1546574,0.1546574,0.1546574,0.1546574,0.1546574,0.1546574
AFG,Climate Watch,Energy ,CH4,2.073453451,0.391493012,0.233899738,0.232165182,0.230337172,0.155292675,0.173888179,0.172153623,0.172153623,0.170419068,0.170419068,0.081769056,0.073096262,0.075377746,0.07364319,0.071908618,0.071853568,0.086366737,0.093545796,0.078822528,0.160735276,0.174981617,0.173919822,0.169611025,0.175959642,0.170293199,0.191020472,0.177794573,0.199078543,0.186364385,0.113040267,0.182411232,0.245083754
AFG,Climate Watch,Building,CH4,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
AFG,Climate Watch,Transportation ,CH4,,,,,,,,,,,,,,,,,0.0001,0.0001,0.0001,0.0002,0.0002,0.0003,0.0002,0.0002,0.0001,0.0002,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
AFG,Climate Watch,Fugitive Emissions ,CH4,2.073453451,0.391493012,0.233899738,0.232165182,0.230337172,0.155292675,0.173888179,0.172153623,0.172153623,0.170419068,0.170419068,0.081769056,0.073096262,0.075377746,0.07364319,0.071908618,0.071753568,0.086266737,0.093445796,0.078622528,0.160535276,0.174681617,0.173719822,0.169311025,0.175759642,0.169993199,0.190820472,0.177494573,0.198778543,0.186064385,0.112740267,0.182111232,0.244783754
AFG,Climate Watch,Industrial Processes ,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Climate Watch,Agriculture ,CH4,6.0042528,6.2756484,6.347978,6.3977592,6.6352524,6.994946,7.8837612,8.6355808,9.2057784,10.0665824,8.6375996,7.1924328,9.1771176,9.4325336,9.3431184,9.5161808,9.6903632,9.8523068,10.9766132,11.1921208,12.8955568,12.9171532,12.7447208,12.6387548,12.8533188,12.1345112,11.8912332,11.544946,11.7800648,11.8969312,12.0709904,12.1049292,12.2486084
AFG,Climate Watch,Waste ,CH4,0.931927206,0.936463336,1.05099483,1.220839251,1.347617126,1.431839611,1.492102498,1.551912637,1.613673533,1.681166463,1.7059492,1.719067009,1.834019001,1.978135394,2.057972263,2.307288396,2.394092618,2.43099133,2.473481166,2.554013813,2.621149352,2.710788269,2.814339793,2.905480611,2.869732593,2.961988203,3.04086933,3.130758641,3.223907739,3.320601879,3.427941255,3.529283544,3.622125229
